fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2915-001.tif;701-151-005-2915-002.tif,701-151-005-2915-001,Group Photos of the Polish Sailors,,,Author,World War (1939-1945);Sailors;Ex-prisoners of war,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,Polish sailors - former Russian prisoners - in Great Britain. Both photos are group shots of the Polish sailors.,"N 295;Numbers on the back: 716, 9.1;5 SEP 1942 (Censorship Date);Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,9x12 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4992-001.tif,701-151-005-4992-001,A Group of Polish Orphans on Board a Warship en route to New Zealand from India,,,Author,"Ice cream, ices, etc.;Orphans;Warships;Refugee children;World War (1939-1945);Children and war;Civilians war relief",,Poland. Polskie Siły Zbrojne,Indian Ocean;India--Bombay,1939/1945,,1943,,,"Taken aboard a coast guard-manned transport at Bombay, India, these Polish children are on their way to refuge from the sufferings that have pursued them. The orphan refugee children are treated to ice cream on their travel to New Zealand.",Official Coast Guard Photo,still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2872-001.tif,701-151-005-2872-001,Holy Mass on a Warship,,,Author,Warships;Priests;Prayer;Sailors;World War (1939-1945);Sermons;War--Religious aspects,,Poland. Polskie Siły Zbrojne;Poland. Marynarka Wojenna,,1939/1945,,,,,The photo shows a group of sailors surrounding a priest. The men that sail the warships are waiting for a sermon on deck.,Numbers on the back: 20667-14,still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2522-002.tif;701-151-005-2522-006.tif;701-151-005-2522-007.tif;701-151-005-2522-008.tif,701-151-005-2522-002,Polish Troops Marching (Great Britain) [2],,,Author,World War (1939-1945);Soldiers;Marching drills;Military uniforms;Rifles,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Polish Information Center, Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,"Soldiers marching in Great Britain. Photos 007 and 008 show the soldiers marching in a field. On the other hand, photos 002 and 006 show the soldiers marching down a street in a city. They are carrying their rifles as they march.","Words on the front: motorized cavalry;Numbers on the back: 51, 52(crossed out), 16571-10, 1942~, 5;No. 713;Censorship No. 207358;No Reproduction of this photograph may be made without the previous permission of the associated newspapers ltd. Northcliffe House, London, England.",still image,photographs,black-and-white photographs,13x17 cm; 18x25 cm; 13x10 cm; 13x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2923-001.tif;701-151-005-2923-002.tif;701-151-005-2923-003.tif,701-151-005-2923-001,General Sikorski Decorates Pilots with the Virtuti Militari Cross,,,Author,"World War (1939-1945);Military Decorations;Military ceremonies, honors, and salutes;Air pilots;Order Virtuti Militari;Generals","Sikorski, Władysław",Poland. Polskie Siły Zbrojne,England--London,1939/1945,,1941-01-23,"Polish Information Center, Republic of Poland, Ministry of Information, Photo Service,",,"Polish pilots decorated with the Virtuti Militari Cross by Gen. Sikorski. One of the pilots being awarded put a fire out, saved his crew, and landed the bomber safely to its base.","No. 257, No. 267;Censorship No. 221209;Nowy Świat;2col;Numbers on the back: 52, 56, II, D 12, 34, 57",still image,photographs,black-and-white photographs,12x17 cm; 17x12 cm; 17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2944-001.tif,701-151-005-2944-001,Polish Airmen During a Holy Mass,,,Author,World War (1939-1945);Prayer;Air pilots;Mass;War--Religious aspects,,Poland. Polskie Siły Zbrojne;Poland. Polskie Siły Powietrzne,,1939/1945,,,,,Polish pilots at a mass in a hangar. The pilots are kneeling on one knee during mass.,Numbers on the back: 095,still image,photographs,black-and-white photographs,13x18 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2917-001.tif,701-151-005-2917-001,"Mikołajczyk with airmen of the squadron ""Wilno""",,Keystone Press Agency Ltd. (Copyright),Author,"World War (1939-1945);Britain, Battle of (Great Britain : 1940);Military Decorations;Military ceremonies, honors, and salutes;Prime ministers","Mikołajczyk, Stanisław;Iżycki, Mateusz","Poland. Polskie Siły Powietrzne;Great Britain. Royal Air Force. Squadron (Polish), 317th",,1939/1945,,1944-02,,,"Birthday of the ""Vilno"" Polish Fighter Squadron. The famous ""Vilno"" Fighter Squadron of the Polish Air Force, which played a prominent part in the Battle of Britain has just celebrated its 3rd birthday when the occasion was marked by a special service and ceremony at the aerodrome. Mass was conducted in a hangar after which some of the pilots were decorated for bravery and devotion to duty by the Chief of the Polish Air Force, Air Vice-Marshal Mateusz Iżycki. The Polish Prime Minister chatting to some of the newly decorated pilots after congratulating them.","Numbers on the back: 15, 6;B/2486-7",still image,photographs,black-and-white photographs,11x16 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2544-003.tif;701-151-005-2544-021.tif;701-151-005-2544-023.tif,701-151-005-2544-003,King George VI Visiting the Polish Army in Scotland (5),,,Author,Generals;World War (1939-1945);Kings and rulers;Soldiers;Military uniforms,"Sikorski, Władysław;King George VI",Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,1941-03,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Polish Information Center, Republic of Poland, Ministry of Information, Photo Service",,The photos show the soldiers standing at guard while King George VI and General Sikorski inspect them. The king and general are seen saluting the soldiers in photos 023 and 003. Photo 021 shows a soldier talking to the two men.,"Numbers on the back: D9, 77, 10, 1., 2, D10, 166, 11, 199, II, 85, 1.2, 1a (crossed out), 1238, K5 ; 7 JUL 1943 (Censorship Date)",still image,photographs,black-and-white photographs,12x17 cm; 17x12 cm; 17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2926-001.tif,701-151-005-2926-001,General Anderson Decorates Captain Skubała,,,Author,"Military Decorations;World War (1939-1945);Air pilots;Airplanes, Military--Accidents;Soldier's Medal (U.S.)","Skubała, Marian;Anderson, Samuel Egbert",Poland. Polskie Siły Zbrojne;United States. Air Force,Scotland--Edinburgh,1939/1945,,,,,"Since the accident, captain Skubała has spent the last three months at a Polish military hospital in Edinburgh, where he had already undergone three operations on his injured arm. He is scheduled to have the fourth one. Meanwhile, in recognition of what the official citation calls the ""heroism reflecting the highest credit upon his valiant devotion to duty,"" General Samuel E. Anderson, Commanding IX. Bomber Command, 9th Air Force, flew especially to Scotland to decorate Skubała with the Soldier's Medal.",,still image,photographs,black-and-white photographs,17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4988-001.tif,701-151-005-4988-001,Polish Children on Their Way to New Zealand,,,Author,World War (1939-1945);Refugee children;Orphans;Warships;Sailors;Children and war;Civilians war relief;Polish people,,Poland. Polskie Siły Zbrojne;Poland. Marynarka Wojenna,India--Bombay,1939/1945,,1943,,,A large crowd of Polish children en route to New Zealand from India. The photo also shows the sailors who will be transporting them to New Zealand.,Numbers on the back: 22863-2,still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4991-001.tif,701-151-005-4991-001,Polish Orphans Sleeping on Their Way to New Zealand from India,,,Author,Sleep;Orphans;Refugee children;World War (1939-1945);Warships;Children and war;Civilians war relief;Polish people,,,Indian Ocean,1939/1945,,1943,,,"A group of Polish orphans drift away into sweet sleep in the bunk room of a coast guard-armed transport. The children were taken aboard the coast guard ship at Bombay, India for transfer to get away from the war.",Official Coast Guard Photo.,still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3084-001.tif,701-151-005-3084-001,Soldiers Reading the Newspaper,,,Author,Newspapers;Newspaper reading;World War (1939-1945);Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,Russia (Federation)--Buzuluk,1939/1945,,1941,"Polish War Relief, Polish American Council of the United States of America, Republic of Poland, Ministry of Information, Photo Service",,"1941. Buzuluk, Russia Federation. Anders' Army soldiers reading the press newspapers in the recreation hall.","No. 31;Numbers on the back: 1/6, 11, 16, 1a/6;KOP. NR. 6 TECZKA NR 1",still image,photographs,black-and-white photographs,13x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2509-001.tif;701-151-005-2509-002.tif,701-151-005-2509-001,Soldiers Awarded for Narvik,,,Author,"World War (1939-1945);Military decorations;Soldiers;Military ceremonies, honors, and salutes;Military uniforms",,Poland. Polskie Siły Zbrojne,,1939/1945,,1942-07-27,"Polish Information Center, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor",,Polish officers and soldiers honored by King Haakon VII for their participation in the Norwegian Company.,"Numbers on the back: 645, 4, 5, A-6-2;Boguslawski pplk. dypl. - Lt. Col.;3 AUG 1942 (Censorship Date)",still image,photographs,black-and-white photographs,10x13 cm; 9x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4889-001.tif,701-151-005-4889-001,A Polish Family Rescued by the Anders Army in the USSR in Iran,,,Author,World War (1939-1945);Families;Refugees;Polish people;Civilian war relief,,Poland. Polskie Siły Zbrojne,Iran,1939/1945,,1942,Polish Government Information Center,,A family of Polish exiles rescued by the Anders' Army from the USSR already in Iran. 1942. The Kowalski family in Iran. They look happy in their new outfits.,"Numbers on the back: 5/49, 18060-7, 30x21, 5;Teczka Nr. 2, Koperta Nr. 49;Dublet",still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4973-001.tif,701-151-005-4973-001,Group of Children in an Orphanage after Arriving in Iran,,,Author,Orphans;Refugee children;Refugee camps;World War (1939-1945);Children and war;Civilian war relief,,,Iran,1939/1945,,1941,,,"A group of Polish children, rescued by Anders' Army, already dressed and with their heads shaved.","Teczka Nr. 2, Koperta 27;Characters/Words on the back; Polish FyF, W (crossed out);Numbers on the back: 2/27, 16162+, 3, 76, Nr. 5, 5854, 120 m, 2007, 5-2, 4 1/2"", X3, 16162-14",still image,photographs,black-and-white photographs,13x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4966-001.tif,701-151-005-4966-001,Tents for Polish Children Coming from the USSR,,,Author,Refugee camps;Refugee children;Tents;World War (1939-1945);Children and war;Civilians war relief;Polish people,,,Iran--Tehran,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service",,Camps in Tehran for Polish children who arrived from Russia. The photo shows children standing in front of tents.,No. 314;Censorship No. 229334,still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4963-001.tif,701-151-005-4963-001,A Group of Polish Children in Uniform on an American Red Cross Truck in Tehran,,,Author,Uniforms;Trucks;Refugee children;World War (1939-1945);Polish people;Children and war;Civilians war relief,,American Red Cross,Iran--Tehran,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service",,Polish children from Russia in Tehran. The children are in uniform and sitting on an American Red Cross truck before an excursion.,No. 319;Censorship No. 229332,still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4955-001.tif,701-151-005-4955-001,Polish Children in a Camp in Tehran after Arriving from the Soviet Union,,,Author,World War (1939-1945);Refugee children;Refugee camps;Polish people;Children and war;Civilians war relief,,,Iran--Tehran,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service",,Polish boys and girls from Russia in Teheran. Candy is being distributed among them.,Censorship No. 229342;No. 316,still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3097-001.tif;701-151-005-3097-002.tif;701-151-005-3097-003.tif,701-151-005-3097-001,Polish Sailors Rescued from the USSR in Iran,,,Author,World War (1939-1945);Sailors;Dinners and dining;Refugee camps,,Poland. Polskie Siły Zbrojne;Poland. Marynarka Wojenna,Iran,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service,",,Photo 001 shows Polish soldiers rescued by the Anders' Army from the Soviet Union during meal time. Photo 002 depicts Polish sailors from Russia talking with an officer of the Polish War Fleet. Polish soldiers are seen in their English quarters in Photo 003.,"No. 38, No. 39, No. 40;KOP. NR 9 TECZKA NR 1;Numbers on the back: 4/9, 3/9, 1/9, 2/9, 64;2 column fize, 45 mats",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3088-001.tif;701-151-005-3088-002.tif;701-151-005-3088-003.tif,701-151-005-3088-001,Marionette Theater in the Anders' Army in the Soviet Union,,fot. inz. W. Ostrowski,Author,Marionettes;Puppets;Puppet theater;World War (1939-1945);Ethnic costume;Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,Russia (Federation),1939/1945,,1942,"DTWO Armii Polskiej na Wschodzie, Wydział Informacji Oświaty, Dział Fotograficzny",,Marionette theater in the Anders' Army in the Soviet Union. The marionette dolls are wearing Polish regional costumes.,"Nr. 16, Nr. 17, Nr. 18;Numbers on the back: 1/19, 2/19, 3/19;Teczka Nr. 1, KOP. NR 19",still image,photographs,black-and-white photographs,23x18 cm; 23x18 cm; 18x23 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4954-001.tif,701-151-005-4954-001,Lessons in a Polish School in Tehran,,,Author,Teachers;Students;Blackboards;Refugee children;Refugee camps;World War (1939-1945);Boys;War and education;Polish people,,,Iran--Tehran,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service",,A class of boys paying attention to a lesson on the chalkboard.,"Numbers on the back: 6, 4 x 3 1/4, 571/11, 11;Censorship No. -17455;No. 759;k.2, f. 1.;Hush left;M. J. Mazynski, 580 South Marengo Avenue, Pasadena California",still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4943-001.tif,701-151-005-4943-001,Deportees from Soviet Russia in Winter Clothes,,,Author,Refugees;Civilians in war;World War (1939-1945);Deportees;Deported children;Polish people,,,Iran--Tehran,1939/1945,,1942,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,Polish civilians from Russia on their arrival in Tehran.,"Numbers on the back: E-1-3, 1942",still image,photographs,black-and-white photographs,9x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4947-001.tif,701-151-005-4947-001,A Boy Undergoing his First Medical Tests,,,Author,Medical care;Physicians;Medical personnel;Nurses;Boys;Refugee children;World War (1939-1945);Civilian war relief;Polish people,,,Iran--Tehran,1939/1945,,,,,Tehran. A boy's first medical examination after arriving from Russia.,,still image,photographs,black-and-white photographs,22x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3101-001.tif,701-151-005-3101-001,"English, Russian, and Polish officer in Iran",,,Author,World War (1939-1945);Armed Forces--Officers,,Poland. Polskie Siły Zbrojne,Iran,1939/1945,,1942,"Polish Information Center, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor",,"Officers of the United Nations-- English, Polish, and Russian officers somewhere in Iran.","Numbers on the back: 15, 17295-8, 813, 24, 021294;27 OCT 1942 (Censorship Date)",still image,photographs,black-and-white photographs,12x9 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3102-001.tif,701-151-005-3102-001,Wojtek the Bear,,,Author,"Wojtek (Bear), 1942-1963;World War (1939-1945);Armed Forces--Mascots;Bears",,Poland. Polskie Siły Zbrojne,Iran--Tehran,1939/1945,,1942,,,Iran 1942. The photo shows a young bear named Wojtek. He is the mascot of the Anders' Army. Wojtek was bought in Iran.,"Numbers on the back: 1a/20, 18368-1;Teczka Nr 1 KOP. NR. 20",still image,photographs,black-and-white photographs,26x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4984-001.tif,701-151-005-4984-001,A Group of Polish Girls in the Middle East,,,Author,Uniforms;World War (1939-1945);Teenage girls;Refugee camps;Refugee children;Children and war;Polish people,,Poland. Polskie Siły Zbrojne,Middle East,1939/1945,,1942,,,"A group of Polish children in the Middle East. The girls are wearing uniforms, smiling, and looking into the camera.",Numbers on the back: 20546-1,still image,photographs,black-and-white photographs,21x25 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3100-001.tif,701-151-005-3100-001,Polish Barber,,,Author,Barbers;World War (1939-1945);Storefronts;Shop signs,,Poland. Polskie Siły Zbrojne,Iran--Tehran,1939/1945,,1943,"Polish Government Information Center, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor,",,Polish Army in the Middle East. 1942. Polish barber in Tehran. The soldiers are waiting in line for a haircut.,"16 AUG 1943 (Censorship Date);Numbers on the back: 1287, 19160-2, 5;Bogusławski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4983-001.tif,701-151-005-4983-001,Two Boys Carrying a Bucket of Water in a Polish Camp in Tehran,,,Author,Pails;World War (1939-1945);Boys;Tents;Refugee children;Refugee camps;Children and war;Polish people,,,Iran--Tehran,1939/1945,,1943,,,"1943, a Polish camp in Tehran. Two boys are working together to carry a bucket of water.","Censorship No. -17488;No. 763;Republic of Poland, Ministry of Information, Photo Service;M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California;k.2, f.11",still image,photographs,black-and-white photographs,12x16 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4999-001.tif,701-151-005-4999-001,Group of Polish Children on the Streets of Jerusalem,,,Author,Streets;World War (1939-1945);Stairs;Uniforms;Walking;Refugee children;Children and war;Civilian war relief;Polish people,,,Middle East--Jerusalem,1939/1945,,1943,Polish Government Information Center,,1943. A group of Polish children is walking up the stairs of a street in Jerusalem. The children are dressed in uniform. An adult is leading them.,Film Prints,still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4987-001.tif,701-151-005-4987-001,Polish Boys in an Orphanage,,,Author,Orphans;Orphanages;World War (1939-1945);Boys;Trunks (Luggage);Children's clothing;Exiles;Polish people;Refugee children;Children and war,,Poland. Polskie Siły Zbrojne,India,1939/1945,,1943,"Republic of Poland, Ministry of Information, Photo Service",,"Polish children, exiles from the USSR who were rescued by Anders' Army, in a camp in India. The boys are carrying a trunk together.",,still image,photographs,black-and-white photographs,17x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2536-001.tif;701-151-005-2536-002.tif,701-151-005-2536-001,President Raczkiewicz and General Sikorski with the Polish Army in Scotland,,,Author,World War (1939-1945);Parades,"Raczkiewicz, Władysław;Sikorski, Władysław","Poland. Polskie Siły Zbrojne. Polski Korpus, 1.",Scotland,1939/1945,,,"Polish Government Information Center, Polish Information Center",,General Sikorski and President Raczkiewicz review the motorized cavalry of the Polish Army in Scotland. The first photo shows General Sikorski and President Raczkiewicz inspecting a crowd of soldiers. The second photo depicts the soldiers marching in a street.,"Numbers on the back: 16768-2, 100, II, D10 104, 30, I, P-3, 5;I Corps;Frame 33",still image,photographs,black-and-white photographs,12x17 cm; 14x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
